X,Y,LONGITUDE,LATITUDE,AR_LIVRE,BOUGUER,h
5440104.9821684,6789544.3233826,-49.485,-28.935,-61.24651608,-62.7089111,14.34
5439119.22632089,6789793.12168623,-49.4952,-28.9331,-65.45340693,-65.8706032,5.04
5035371.3696648,6800574.11949985,-53.6373,-28.9107,5.857053104,-38.34488238,404.1
5419664.3894575,6790861.62373005,-49.695,-28.93,-61.15749772,-64.41015423,31.17
5238723.07567566,6795566.72403161,-51.5514,-28.9341,4.051928801,-69.17303022,660.76
5452756.53455109,6790302.71102894,-49.35564444,-28.92377778,-53.70935552,-54.08712991,4.5
5283262.97753362,6794692.89923508,-51.0945,-28.9329,21.08988477,-65.39966697,779.14
5182787.88475279,6797286.47648656,-52.1253,-28.9278,16.80371931,-55.62321853,654.69
5421200.64235713,6791250.26381951,-49.6794,-28.926,-61.17779292,-64.27591726,29.7
5138570.93668767,6798544.71749842,-52.5789,-28.922,41.3036364,-36.59952837,704.59
5434487.45467796,6791424.80072513,-49.5433,-28.92,-63.17107149,-63.71547371,6.34
5434487.45467796,6791424.80072513,-49.5433,-28.92,-62.89192845,-63.42514066,6.24
5238584.74663449,6796423.79181401,-51.553,-28.9264,7.469985622,-68.47169271,685.06
5157703.93380226,6798498.93805318,-52.3827,-28.9202,42.23140173,-40.90639593,751.1
5282248.20694562,6795871.91205372,-51.1052,-28.9225,10.7983289,-63.56545254,670.79
5315873.49350445,6795178.76306761,-50.7603,-28.9209,20.21219811,-69.56576463,808.57
5440584.06108165,6792441.75688643,-49.48122222,-28.908775,-63.73084368,-64.08023647,4.44
5419045.33941975,6793162.64561121,-49.7022,-28.9095,-62.14951689,-66.00811314,36.66
5423113.84598641,6793136.59912765,-49.6605,-28.9084,-63.52157893,-65.91649367,23.34
5365699.26072332,6794596.9686429,-50.2494,-28.9129,46.50563106,-60.69382567,963.77
5386808.67792095,6794131.55275139,-50.0329,-28.9109,60.57101725,-63.28581962,1111.74
5453804.12498867,6792516.49759144,-49.3458,-28.9035,-56.30817022,-56.5522361,3.3
5037203.23290342,6803117.60923882,-53.6186,-28.8877,3.839404324,-36.8751191,372.93
5322419.69427896,6795897.11927234,-50.6934,-28.9128,32.68161469,-68.87584134,913.8
5309513.98557962,6796294.49603946,-50.8258,-28.9124,19.02712143,-72.71893183,826.16
5352195.86748405,6795227.58153394,-50.388,-28.911,10.99053315,-64.7056654,682.45
5298645.88419566,6796647.14240212,-50.9373,-28.9118,23.40168627,-71.54357181,854.74
5417141.40166084,6793676.13827751,-49.7219,-28.9055,-61.81507232,-66.3404855,42.74
5401219.76511728,6794084.46861664,-49.8852,-28.9069,-53.09705308,-67.29625867,130.51
5434939.75315617,6793331.04201612,-49.5394,-28.9027,-64.12264195,-64.54236956,5.25
5304041.07519298,6796661.82103882,-50.882,-28.9104,24.02538417,-73.39282625,876.84
5371350.54646209,6794960.96216223,-50.1916,-28.908,55.42706585,-57.85178617,1017.97
5281326.62834161,6797281.59187907,-51.115,-28.91,11.31415494,-63.55395674,675.32
5442353.4935224,6793227.4586293,-49.4634,-28.9011,-62.42952174,-62.48329388,1.77
5280956.68902788,6797312.78790342,-51.1188,-28.9098,15.34483151,-63.37039679,709.7
5456626.63472749,6792868.94517813,-49.317025,-28.89933056,-55.24250469,-55.34770397,2.02
5376559.27358764,6794903.45214432,-50.1382,-28.907,62.07636208,-57.26968118,1072.04
5357937.77718019,6795384.28910335,-50.3292,-28.908,39.68912102,-63.272551,926.04
5328379.95839438,6796217.75079087,-50.6324,-28.9084,32.60339113,-66.61971261,892.91
5412092.08521282,6794112.96516222,-49.7738,-28.9032,-59.25614796,-65.19703487,55.73
5292991.01870759,6797158.18764742,-50.9954,-28.9085,23.14058495,-67.41027147,815.49
5238726.90203643,6798584.10579356,-51.552,-28.9069,5.327919646,-69.01305994,670.81
5428612.54230351,6793778.70585043,-49.6044,-28.9008,-63.69155854,-65.07805172,14.09
5452777.66712614,6793271.54111984,-49.35661944,-28.89707222,-56.64916642,-57.95499309,12.81
5333925.09853913,6796336.40629852,-50.5756,-28.9059,32.23451618,-69.19071268,912.56
5381826.6565361,6795141.62133121,-50.0843,-28.9033,56.65637965,-58.20796992,1031.74
5448228.86273715,6793468.02850355,-49.4033,-28.8969,-57.63759927,-57.76063839,2.29
5449406.63398013,6793438.96391311,-49.39122222,-28.89675,-57.03410586,-58.00646203,9.87
5155678.53392201,6800899.18752161,-52.4038,-28.8988,36.44727231,-40.77044094,698.24
5387019.78384982,6795191.0545075,-50.0311,-28.9013,61.0269873,-62.57669914,1109.49
5345379.43981433,6796321.75505966,-50.4582,-28.903,34.29597057,-62.24250802,868.78
5282319.71749924,6798000.91161917,-51.105,-28.9033,-9.96239074,-67.0606033,516.53
